Kurs Jual,Kurs Beli,Tanggal
12453.06,12325.96,2022-06-01
12415.01,12290.42,2022-05-01
12442.61,12317.73,2022-04-01
12467.97,12340.7,2022-03-01
12451.46,12326.5,2021-31-12
12469.63,12342.33,2021-30-12
12462.49,12337.42,2021-29-12
12471.54,12345.29,2021-28-12
12493.53,12367.05,2021-27-12
12529.32,12400.31,2021-24-12
12541.84,12414.87,2021-23-12
12695.44,12565.8,2021-22-12
12748.85,12618.66,2021-21-12
12635.62,12508.8,2021-20-12
12635.62,12508.8,2021-17-12
12672.55,12544.25,2021-16-12
12686.73,12559.39,2021-15-12
12687.2,12559.85,2021-14-12
12714.38,12586.76,2021-13-12
12714,12581.95,2021-10-12
12701.26,12571.56,2021-09-12
12738.66,12606.37,2021-08-12
12825.39,12693.29,2021-07-12
12772.37,12644.17,2021-06-12
12768.3,12637.91,2021-03-12
12709.05,12581.48,2021-02-12
12753.99,12623.73,2021-01-12
12718.82,12587.83,2021-30-11
12555.91,12427.71,2021-29-11
12442.69,12315.68,2021-26-11
12464.9,12337.65,2021-25-11
12514.93,12387.16,2021-24-11
12552.6,12425.52,2021-23-11
12498.42,12372.98,2021-22-11
12527.07,12400.25,2021-19-11
12479.58,12354.33,2021-18-11
12510.56,12385,2021-17-11
12530.31,12402.36,2021-16-11
12553.03,12427.03,2021-15-11
12591.58,12463.01,2021-12-11
12661.78,12532.47,2021-11-11
12669.77,12542.59,2021-10-11
12638.23,12510.27,2021-09-11
12698.55,12571.09,2021-08-11
12631.49,12502.52,2021-05-11
12622.97,12495.17,2021-04-11
12627.59,12499.74,2021-03-11
12526.21,12398.31,2021-02-11
12528.03,12397.92,2021-01-11
12560.51,12433.35,2021-29-10
12543.93,12415.84,2021-28-10
12484.28,12358.98,2021-27-10
12550.78,12421.52,2021-26-10
12488.21,12360.69,2021-25-10
12456.08,12329.98,2021-22-10
12420.26,12294.52,2021-21-10
12385.45,12261.14,2021-19-10
12390.07,12263.57,2021-18-10
12543.67,12416.67,2021-15-10
12585.51,12456.99,2021-14-10
12601.95,12473.26,2021-13-10
12650.41,12520.1,2021-12-10
12772.38,12644.17,2021-11-10
12843.72,12712.5,2021-08-10
12835.06,12703.93,2021-07-10
12893.66,12761.92,2021-06-10
12903.48,12771.64,2021-05-10
12946.89,12815.75,2021-04-10
12857.43,12726.09,2021-01-10
12916.4,12786.73,2021-30-09
12885.57,12753.92,2021-29-09
12920.91,12788.88,2021-28-09
12972.15,12839.58,2021-27-09
13031.91,12898.72,2021-24-09
13080.24,12947.73,2021-23-09
13068.49,12934.91,2021-22-09
13060.61,12927.11,2021-21-09
13008.52,12876.74,2021-20-09
13083.29,12949.55,2021-17-09
13099.74,12965.84,2021-16-09
13022.17,12889.08,2021-15-09
13015.44,12884.76,2021-14-09
13009.49,12876.53,2021-13-09
13053.66,12921.42,2021-10-09
13015.01,12883.16,2021-09-09
